name,team,Pos,wRC,oWAR,offWAR,atBats,plateAppearances,hits,doubles,triples,homeRuns,walks,hitByPitch,sacFlies,sacBunts,intentionalWalks,strikeouts,doublePlays,steals,caughtStealing,runs,rbis,avg,obp,slg,ops,wOBA,wRAA,wSB,spd,ubr,PosAdj
정준재,Landers (KBO),2루,95.39557218,0.8958450505,0.8275117171,272,315,80,13,0,4,36,1,3,0,3,33,6,1,0,28,36,0.2972972973,0.3580246914,0.3783783784,0.7364030697,0.3405589688,-1.012262938,-0.7626080529,8.871897127,1.849988162,0.06833333334
손아섭,Dinos (KBO),지명,81.55371085,-0.1878424071,0.827157593,326,348,95,16,0,7,16,0,4,2,0,62,1,6,2,45,50,0.2914110429,0.3208092486,0.4049079755,0.725717224,0.3195533212,-8.605221914,0.05540117916,4.677211188,-0.5786033348,-1.015
서건창,Tigers (KBO),1루,108.2376946,0.8893510484,1.353934382,180,223,50,11,1,1,35,3,2,3,0,27,2,3,1,35,20,0.2777777778,0.4,0.3666666667,0.7666666667,0.3600474676,2.4625461,0.009561187355,5.144754334,-0.08276347115,-0.4645833333
정훈,Giants (KBO),1루,104.8294364,0.7161103606,1.27236036,274,305,76,8,3,1,21,2,3,5,0,40,4,6,3,38,39,0.264957265,0.3421052632,0.4487179487,0.7908232119,0.3548752824,1.728548356,-0.3851725346,2.812651807,-1.969772217,-0.5562499999
김선빈,Tigers (KBO),2루,97.5491877,1.731567553,1.566150886,212,242,56,10,0,9,22,2,1,5,0,53,5,11,5,46,37,0.2960893855,0.3571428571,0.4106145251,0.7677573823,0.3438271773,-1.304290638,0.1861555071,2.807678877,-3.070356008,0.1654166667
신본기,Wiz (KBO),유격,95.36127062,0.7432525087,0.5657525087,407,456,116,14,2,7,29,12,2,6,0,80,13,1,3,51,48,0.2857142857,0.3834586466,0.3928571429,0.7763157895,0.3405069146,-0.8830010089,0.3736686097,3.170819328,-0.9331425141,0.1775
장진혁,Eagles (KBO),중견,95.8259696,1.125814087,1.02664742,235,268,62,16,0,9,29,0,3,1,0,47,2,1,1,28,38,0.2596153846,0.3347639485,0.4326923077,0.7674562562,0.3412121162,-1.331699949,-0.5678743309,5.673579817,0.266048484,0.09916666667
김태연,Eagles (KBO),우익,124.1338069,2.452319077,2.953569077,349,405,107,23,0,11,43,4,4,5,0,72,7,3,2,52,57,0.3083573487,0.3838383838,0.469740634,0.8535790178,0.3841705335,12.97310772,-0.5621530811,3.077607234,-2.925263869,-0.50125
이유찬,Bears (KBO),3루,104.753186,1.204503966,1.117420633,184,209,56,9,0,3,19,1,1,4,0,40,8,14,5,32,19,0.3043478261,0.3707317073,0.402173913,0.7729056204,0.354759569,1.331695456,0.02978510103,4.293313798,-0.6372742261,0.08708333334
구본혁,Twins (KBO),유격,74.28655374,0.6115043342,0.2115043342,114,144,32,3,0,3,16,3,2,9,0,27,3,2,0,17,19,0.2605633803,0.329153605,0.3204225352,0.6495761402,0.3085250831,-11.0302177,-1.240045713,3.596823188,-1.614693248,0.4
